estimated_nights_booked,price,minimum_nights,calculated_host_listings_count,estimated_nights_booked_binary,room_type_Hotel room,room_type_Private room,room_type_Shared room,latitude,longitude
66.96000000000001,46.0,3,5,1,0.0,1.0,0.0,,
49.67999999999999,349.0,3,2,1,0.0,0.0,0.0,,
10.080000000000002,111.0,3,1,0,0.0,0.0,0.0,,
35.28,306.0,3,1,0,0.0,0.0,0.0,,
16.32,61.0,2,1,0,0.0,1.0,0.0,,
78.72,62.0,4,12,1,0.0,1.0,0.0,,
57.120000000000005,109.0,7,1,1,0.0,0.0,0.0,,
432.0,214.0,200,1,1,0.0,0.0,0.0,,
42.96,49.0,1,3,0,0.0,1.0,0.0,,
18.0,220.0,1,2,0,0.0,0.0,0.0,,
27.84,42.0,4,1,0,0.0,1.0,0.0,,
18.0,75.0,1,1,0,0.0,0.0,0.0,,
18.48,40.0,7,2,0,0.0,0.0,0.0,,
73.92,65.0,2,2,1,0.0,1.0,0.0,,
7.92,55.0,1,1,0,0.0,1.0,0.0,,
27.360000000000003,557.0,3,1,0,0.0,0.0,0.0,,
5.28,130.0,2,2,0,0.0,0.0,0.0,,
48.0,390.0,4,1,0,0.0,0.0,0.0,,
216.0,95.0,3,1,1,0.0,0.0,0.0,,
3.12,55.0,1,2,0,0.0,1.0,0.0,,
20.160000000000004,155.0,3,2,0,0.0,1.0,0.0,,
12.48,269.0,2,1,0,0.0,0.0,0.0,,
39.6,250.0,3,1,0,0.0,0.0,0.0,,
22.800000000000004,450.0,5,3,0,0.0,0.0,0.0,,
16.56,59.0,1,1,0,0.0,1.0,0.0,,
9.6,180.0,5,1,0,0.0,0.0,0.0,,
8.879999999999999,24.0,1,1,0,0.0,1.0,0.0,,
2.4000000000000004,40.0,1,1,0,0.0,1.0,0.0,,
19.44,42.0,3,2,0,0.0,1.0,0.0,,
8.4,312.0,5,92,0,0.0,0.0,0.0,,
80.64,500.0,7,3,1,0.0,0.0,0.0,,
16.56,795.0,1,1,0,0.0,0.0,0.0,,
12.96,150.0,3,1,0,0.0,0.0,0.0,,
48.96,79.0,2,2,1,0.0,1.0,0.0,,
209.28000000000003,40.0,4,8,1,0.0,1.0,0.0,,
89.28,50.0,3,2,1,0.0,1.0,0.0,,
38.4,99.0,5,1,0,0.0,0.0,0.0,,
2440.8,150.0,90,1,1,0.0,0.0,0.0,,
12.000000000000002,126.0,5,1,0,0.0,0.0,0.0,,
5520.000000000001,220.0,250,2,1,0.0,0.0,0.0,,
