id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,estimated_nights_booked
3645778,Rental unit in London · ★4.76 · 2 bedrooms · 2 beds · 1 bath,5595435,Tass,,Kensington and Chelsea,51.51436,-0.20347,Entire home/apt,215.0,2,230,2023-10-30,2.02,1,108,16,,96
4316890,Home in Marylebone · ★4.97 · 2 bedrooms · 2 beds · 2.5 baths,17999082,Rene,,Westminster,51.51906,-0.1507,Entire home/apt,474.0,7,61,2023-12-07,0.58,1,35,13,,97
3655089,Rental unit in London · ★4.91 · 2 bedrooms · 3 beds · 2 baths,18492822,Nav,,Westminster,51.51304,-0.17532,Entire home/apt,160.0,90,23,2022-01-15,0.25,1,131,0,,540
3658653,Loft in London · ★4.87 · 1 bedroom · 1 bed · 1 private bath,14192590,Mike And Maria,,Hackney,51.53693,-0.08055,Private room,105.0,2,247,2023-12-09,2.17,2,65,41,,104
4386852,Rental unit in London · ★4.40 · 2 bedrooms · 3 beds · 1 bath,5026897,Nithin,,Westminster,51.51994,-0.16989,Entire home/apt,120.0,365,5,2020-02-17,0.05,1,363,0,,438
3947704,Rental unit in Greater London · ★4.79 · 1 bedroom · 2 beds · 1 bath,20459910,Andrew,,Tower Hamlets,51.51218,-0.05646,Entire home/apt,95.0,14,24,2019-06-28,0.32,1,102,0,,107
4501733,Rental unit in London · ★4.30 · 1 bedroom · 2 beds · 1 bath,23346869,Matteo,,Kensington and Chelsea,51.48683,-0.18873,Entire home/apt,214.0,200,10,2023-08-29,0.09,1,363,1,,432
5385144,Rental unit in Greater London · ★5.0 · 1 bedroom · 1 bed · 1 bath,25182229,Alex,,Southwark,51.4735095,-0.0569404,Entire home/apt,95.0,3,3,2023-12-09,3.0,1,44,3,,216
5230075,Condo in London · ★4.98 · 1 bedroom · 1 bed · 1 private bath,4579491,AJ And Kris,,Greenwich,51.44642,0.04226,Private room,40.0,4,195,2023-11-29,2.18,8,99,29,,209
5243886,Rental unit in London · ★4.81 · 2 bedrooms · 2 beds · 1 bath,22885679,Marek,,Hammersmith and Fulham,51.47024,-0.19259,Entire home/apt,150.0,90,121,2023-09-18,1.13,1,160,13,,2440
5254758,Rental unit in London · ★4.64 · 2 bedrooms · 3 beds · 1 bath,9057897,Juliette,,Westminster,51.48814,-0.13999,Entire home/apt,220.0,250,99,2023-09-18,0.92,2,35,7,,5520
5566752,Rental unit in London · ★4.72 · 1 bedroom · 1 bath,15914263,Ann,,Wandsworth,51.47754,-0.165,Entire home/apt,167.0,6,72,2023-09-15,0.7,1,221,9,,100
6611516,Condo in London · ★4.66 · 2 bedrooms · 3 beds · 2 baths,5473088,John,,City of London,51.5121,-0.09492,Entire home/apt,359.0,5,101,2023-09-09,0.98,3,275,11,,117
6620546,Rental unit in London · ★4.91 · 3 bedrooms · 3 beds · 2 baths,3995775,Eric,,Westminster,51.52393,-0.18172,Entire home/apt,429.0,4,223,2023-11-29,2.57,1,128,30,,246
6422809,Condo in London · ★4.77 · 1 bedroom · 1 bed · 1 bath,32585891,Thomas,,Southwark,51.45751,-0.0957,Entire home/apt,95.0,4,117,2023-11-04,1.12,2,3,15,,107
6665983,Rental unit in London · ★4.77 · 1 bedroom · 1 bed · 1 private bath,21906728,Lesley,,Islington,51.54249,-0.08641,Private room,98.0,4,129,2023-11-26,1.27,2,56,28,,121
6730447,Rental unit in Greater London · 2 bedrooms · 2 beds · 2 baths,11677233,Will,,Lambeth,51.50423675744733,-0.1089002130306701,Entire home/apt,295.0,4,2,2023-10-21,0.97,1,55,2,,93
6992411,Rental unit in London · ★4.51 · 1 bedroom · 1 bed · 1.5 shared baths,24643642,Tema,,Westminster,51.48964,-0.13778,Private room,64.0,3,192,2023-12-04,1.9,1,339,21,,136
7408042,Rental unit in London · ★4.69 · 2 bedrooms · 5 beds · 1 bath,38817569,Amanda,,Lambeth,51.48902,-0.12014,Entire home/apt,210.0,3,129,2023-10-30,1.29,1,37,18,,92
7274152,Rental unit in London · ★4.60 · 2 bedrooms · 4 beds · 2 baths,1173079,John,,Tower Hamlets,51.51402,-0.02377,Entire home/apt,200.0,4,162,2023-10-27,1.62,2,35,3,,155
7312161,Rental unit in London · ★4.97 · 2 bedrooms · 2 beds · 2 baths,28852922,Gordon,,Wandsworth,51.44127,-0.16191,Entire home/apt,167.0,15,35,2023-11-26,0.35,1,132,3,,125
7325870,Home in London · ★4.91 · 1 bedroom · 2 beds · 1 bath,32961797,Tamara,,Westminster,51.49908,-0.16822,Entire home/apt,115.0,2,258,2023-12-04,2.61,1,161,43,,125
7605914,Home in Harrow · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,9504949,Renée,,Harrow,51.57596,-0.34193,Private room,40.0,3,173,2021-08-01,1.71,1,83,0,,123
7377212,Rental unit in London · ★4.79 · 1 bedroom · 1 bath,38647454,Rogerio,,Camden,51.52245,-0.12343,Entire home/apt,204.0,5,106,2023-12-03,1.05,1,121,7,,126
8125340,Rental unit in London · ★4.05 · 2 bedrooms · 2 beds · 1.5 baths,14921153,Nadia,,Southwark,51.47544,-0.09743,Entire home/apt,96.0,21,19,2023-05-23,0.19,3,8,1,,95
7676396,Boat in Greater London · ★4.85 · 1 bedroom · 2 beds · 1 bath,29499280,Sam,,Westminster,51.52073,-0.18242,Entire home/apt,206.0,2,240,2023-10-26,2.38,2,205,19,,114
8209325,Home in London · ★4.63 · 1 bedroom · 1 bed · 2 shared baths,42621797,Frank,,Hackney,51.560059806482826,-0.080960564094661,Private room,37.0,2,230,2023-10-24,2.32,9,360,28,,111
7771180,Rental unit in London · ★4.76 · Studio · 1 bath,31098090,Julia,,Tower Hamlets,51.52611,-0.07446,Entire home/apt,162.0,5,50,2023-12-06,0.85,1,35,7,,102
8020381,Rental unit in London · ★4.94 · 1 bedroom · 1 bed · 1 bath,42196626,Shanin,,Westminster,51.51438,-0.17302,Entire home/apt,165.0,4,138,2023-11-17,1.37,1,159,16,,131
8025098,Home in Isleworth · ★4.93 · 1 bedroom · 1 bed · 1 private bath,42374352,Kate,,Hounslow,51.47055,-0.34243,Private room,35.0,3,265,2023-11-06,2.64,1,72,43,,190
